,campus_id,campus_name,dept,difficulty,name,quality,rating_count,retake,tag_accessibleoutsideclass,tag_amazinglectures,tag_bewareofpopquizzes,tag_caring,tag_cleargradingcriteria,tag_extracredit,tag_getreadytoread,tag_givesgoodfeedback,tag_gradedbyfewthings,tag_groupprojects,tag_hilarious,tag_inspirational,tag_lectureheavy,tag_lotsofhomework,tag_participationmatters,tag_respected,tag_skipclassyouwon'tpass,tag_somanypapers,tag_testheavy,tag_toughgrader,tid
0,5800,Rutgers School of Health Related Professions,Psychology,2.3,Russell Smith,4.0,10,N/A,,2,,1,1,,1,2,,1,1,1,1,,3,3,2,,,,1660142
1,5800,Rutgers School of Health Related Professions,Health Science,3.6,Jagriti Vora,4.3,7,N/A,,,,,,,,,,,,,,,,,,,,,824330
2,5800,Rutgers School of Health Related Professions,Biology,3.3,Subhasis Biswas,3.6,6,N/A,,,,,,,,,,,,,,,,,,,,,1018983
3,5800,Rutgers School of Health Related Professions,Not Specified,2.0,Weiss Moshref,4.9,5,N/A,,,,,,,,,,,,,,,,,,,,,595847
4,5800,Rutgers School of Health Related Professions,Psychology,3.4,Peter Basto,4.4,5,N/A,,,,1,1,,,1,,,,,,,,,1,1,,1,1560007
5,5800,Rutgers School of Health Related Professions,Psychology,3.0,Weili Lu,3.6,4,N/A,,,,1,,,,2,,,,,1,,,,,,,1,1931998
6,5800,Rutgers School of Health Related Professions,Psychology,3.3,Amy Spagnolo,3.0,3,N/A,,,,,,,,,,,,,,,,,,,,,1541203
7,5800,Rutgers School of Health Related Professions,Psychology,3.0,Nora Barett,4.7,3,N/A,,,,1,,,,1,,,,,,,1,,,,,,1560005
8,5800,Rutgers School of Health Related Professions,Not Specified,4.5,George Brice,1.5,2,N/A,,,,,,,,,,,,,,,,,,,,,1691605
9,5800,Rutgers School of Health Related Professions,Psychology,4.5,Almaz Mimi Getachew,1.8,2,N/A,,,,,,,1,,,1,,,,1,,,,,,,2029473
10,5800,Rutgers School of Health Related Professions,Psychology,1.0,Ken Kinter,5.0,1,N/A,,,,,,,,,,,,,,,,,,,,,1541206
11,5800,Rutgers School of Health Related Professions,Psychology,5.0,Carlos Pratt,4.5,1,N/A,,,,,,,,,,,,,,,,,,,,,1707647
12,5800,Rutgers School of Health Related Professions,Communication,3.0,Jennifer George,5.0,1,N/A,,,,1,,,,1,,,,,,,1,,,,,,2261097
13,5800,Rutgers School of Health Related Professions,Health Science,4.0,Catherine Colucci,3.0,1,N/A,,,,,,,,,,,1,,,,,,,1,,1,2261105
14,5801,New Brunswick Community College - Woodstock,Communication,2.3,Brenda Bradley,4.3,3,N/A,,1,,,,,,,,,,,,,1,1,,,,,582072
15,5802,California State University Antelope Valley,Psychology,3.5,Allison Evans-Fluckey,3.5,20,40%,2,,,,,,2,1,,2,,1,1,,1,1,1,,1,2,646342
16,5802,California State University Antelope Valley,English,3.2,Charles MacQuarrie,4.5,13,N/A,,,,,,,,,,,,,,,,,,,,,582864
17,5802,California State University Antelope Valley,Sociology,2.6,Daniel Cervi,3.8,10,N/A,,,,,,,,,,,,,1,,,1,,,,,719904
18,5802,California State University Antelope Valley,Education,3.6,Mary Rockwell,1.4,5,N/A,,,,,,,,,,,,,,,,,,,,,764743
19,5802,California State University Antelope Valley,Criminal Justice,3.6,Christopher Estes,3.5,5,N/A,,1,,,,,1,,,,,1,1,,,1,,,,1,967208
20,5802,California State University Antelope Valley,Health Science,3.0,Cindy Vargas,5.0,2,N/A,,,,,2,1,,2,,,,1,,,,,,,,,1028992
